amplification_factor,batch_index,counts_json,grover_power,job_id,one_counts,p_hw_raw,recovered_from_session_id,repeat_index,shots,zero_counts
53,16,"{""0"": 2269, ""1"": 1827}",26,d7osc15pb8as73c2u090,1827,0.446044921875,a3ce3623-31cc-4e22-9903-7d37c49d1180,0,4096,2269
53,25,"{""0"": 2322, ""1"": 1774}",26,d7oscqju0eis73bm8h4g,1774,0.43310546875,a3ce3623-31cc-4e22-9903-7d37c49d1180,1,4096,2322
55,24,"{""0"": 1854, ""1"": 2242}",27,d7osco3u0eis73bm8h20,2242,0.54736328125,a3ce3623-31cc-4e22-9903-7d37c49d1180,2,4096,1854
57,7,"{""0"": 2285, ""1"": 1811}",28,d7osb7ru0eis73bm8fj0,1811,0.442138671875,a3ce3623-31cc-4e22-9903-7d37c49d1180,2,4096,2285
57,15,"{""0"": 2335, ""1"": 1761}",28,d7osbultq41c73a8sqsg,1761,0.429931640625,a3ce3623-31cc-4e22-9903-7d37c49d1180,1,4096,2335
57,21,"{""0"": 2325, ""1"": 1771}",28,d7oscf6m3bns73cdgea0,1771,0.432373046875,a3ce3623-31cc-4e22-9903-7d37c49d1180,0,4096,2325
59,13,"{""0"": 1944, ""1"": 2152}",29,d7osbo3u0eis73bm8g20,2152,0.525390625,a3ce3623-31cc-4e22-9903-7d37c49d1180,0,4096,1944
59,26,"{""0"": 2062, ""1"": 2034}",29,d7oscu5tq41c73a8srqg,2034,0.49658203125,a3ce3623-31cc-4e22-9903-7d37c49d1180,2,4096,2062
61,3,"{""0"": 2203, ""1"": 1893}",30,d7osasru0eis73bm8f80,1893,0.462158203125,a3ce3623-31cc-4e22-9903-7d37c49d1180,0,4096,2203
61,6,"{""0"": 2130, ""1"": 1966}",30,d7osb55tq41c73a8sq30,1966,0.47998046875,a3ce3623-31cc-4e22-9903-7d37c49d1180,2,4096,2130
63,9,"{""0"": 2197, ""1"": 1899}",31,d7osbcmm3bns73cdgd90,1899,0.463623046875,a3ce3623-31cc-4e22-9903-7d37c49d1180,2,4096,2197
65,5,"{""0"": 1843, ""1"": 2253}",32,d7osb1ju0eis73bm8fcg,2253,0.550048828125,a3ce3623-31cc-4e22-9903-7d37c49d1180,2,4096,1843
65,11,"{""0"": 1952, ""1"": 2144}",32,d7osbilpb8as73c2tvr0,2144,0.5234375,a3ce3623-31cc-4e22-9903-7d37c49d1180,1,4096,1952
65,22,"{""0"": 1922, ""1"": 2174}",32,d7oschju0eis73bm8grg,2174,0.53076171875,a3ce3623-31cc-4e22-9903-7d37c49d1180,0,4096,1922
67,0,"{""0"": 2326, ""1"": 1770}",33,d7or6lttq41c73a8rq60,1770,0.43212890625,a3ce3623-31cc-4e22-9903-7d37c49d1180,1,4096,2326
67,20,"{""0"": 2350, ""1"": 1746}",33,d7oscbju0eis73bm8glg,1746,0.42626953125,a3ce3623-31cc-4e22-9903-7d37c49d1180,2,4096,2350
69,8,"{""0"": 2020, ""1"": 2076}",34,d7osba5tq41c73a8sq90,2076,0.5068359375,a3ce3623-31cc-4e22-9903-7d37c49d1180,2,4096,2020
69,10,"{""0"": 1961, ""1"": 2135}",34,d7osbf5pb8as73c2tvo0,2135,0.521240234375,a3ce3623-31cc-4e22-9903-7d37c49d1180,0,4096,1961
71,12,"{""0"": 2274, ""1"": 1822}",35,d7osbl5tq41c73a8sqj0,1822,0.44482421875,a3ce3623-31cc-4e22-9903-7d37c49d1180,0,4096,2274
71,17,"{""0"": 2259, ""1"": 1837}",35,d7osc3ttq41c73a8sr2g,1837,0.448486328125,a3ce3623-31cc-4e22-9903-7d37c49d1180,1,4096,2259
75,2,"{""0"": 2006, ""1"": 2090}",37,d7osaqdtq41c73a8spo0,2090,0.51025390625,a3ce3623-31cc-4e22-9903-7d37c49d1180,2,4096,2006
75,23,"{""0"": 2046, ""1"": 2050}",37,d7oscl6m3bns73cdgegg,2050,0.50048828125,a3ce3623-31cc-4e22-9903-7d37c49d1180,0,4096,2046
77,4,"{""0"": 2286, ""1"": 1810}",38,d7osavdtq41c73a8spt0,1810,0.44189453125,a3ce3623-31cc-4e22-9903-7d37c49d1180,2,4096,2286
77,14,"{""0"": 2266, ""1"": 1830}",38,d7osbrem3bns73cdgdmg,1830,0.44677734375,a3ce3623-31cc-4e22-9903-7d37c49d1180,1,4096,2266
77,19,"{""0"": 2220, ""1"": 1876}",38,d7osc8tpb8as73c2u0g0,1876,0.4580078125,a3ce3623-31cc-4e22-9903-7d37c49d1180,0,4096,2220
79,18,"{""0"": 1945, ""1"": 2151}",39,d7osc6em3bns73cdge1g,2151,0.525146484375,a3ce3623-31cc-4e22-9903-7d37c49d1180,0,4096,1945
81,1,"{""0"": 2245, ""1"": 1851}",40,d7osan5pb8as73c2tv0g,1851,0.451904296875,a3ce3623-31cc-4e22-9903-7d37c49d1180,0,4096,2245
