K,backend,calib_id,calib_uuid,isa_cregs,isa_depth,isa_num_qubits,isa_size,job_id,k,logical_depth,logical_num_qubits,logical_size,objective_ry_offset,pub_index,rep,shots,submitted_at_epoch
1,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,148,156,233,d7ism9tpv4fs739rm7qg,0,14,5,32,-0.1,0,1,256,1776667432.035034
1,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,148,156,233,d7ism9tpv4fs739rm7qg,0,14,5,32,-0.1,1,2,256,1776667432.035034
1,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,148,156,233,d7ism9tpv4fs739rm7qg,0,14,5,32,-0.1,2,3,256,1776667432.035034
1,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,148,156,233,d7ism9tpv4fs739rm7qg,0,14,5,32,-0.1,3,4,256,1776667432.035034
1,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,148,156,233,d7ism9tpv4fs739rm7qg,0,14,5,32,-0.1,4,5,256,1776667432.035034
1,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,148,156,233,d7ism9tpv4fs739rm7qg,0,14,5,32,-0.1,5,6,256,1776667432.035034
3,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,830,156,1267,d7ism9tpv4fs739rm7qg,1,15,5,33,-0.1,6,1,256,1776667432.035034
3,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,830,156,1267,d7ism9tpv4fs739rm7qg,1,15,5,33,-0.1,7,2,256,1776667432.035034
3,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,830,156,1267,d7ism9tpv4fs739rm7qg,1,15,5,33,-0.1,8,3,256,1776667432.035034
3,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,830,156,1267,d7ism9tpv4fs739rm7qg,1,15,5,33,-0.1,9,4,256,1776667432.035034
3,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,830,156,1267,d7ism9tpv4fs739rm7qg,1,15,5,33,-0.1,10,5,256,1776667432.035034
3,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,830,156,1267,d7ism9tpv4fs739rm7qg,1,15,5,33,-0.1,11,6,256,1776667432.035034
5,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,1541,156,2337,d7ism9tpv4fs739rm7qg,2,16,5,34,-0.1,12,1,256,1776667432.035034
5,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,1541,156,2337,d7ism9tpv4fs739rm7qg,2,16,5,34,-0.1,13,2,256,1776667432.035034
5,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,1541,156,2337,d7ism9tpv4fs739rm7qg,2,16,5,34,-0.1,14,3,256,1776667432.035034
5,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,1541,156,2337,d7ism9tpv4fs739rm7qg,2,16,5,34,-0.1,15,4,256,1776667432.035034
5,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,1541,156,2337,d7ism9tpv4fs739rm7qg,2,16,5,34,-0.1,16,5,256,1776667432.035034
5,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,1541,156,2337,d7ism9tpv4fs739rm7qg,2,16,5,34,-0.1,17,6,256,1776667432.035034
7,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,2173,156,3353,d7ism9tpv4fs739rm7qg,3,17,5,35,-0.1,18,1,256,1776667432.035034
7,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,2173,156,3353,d7ism9tpv4fs739rm7qg,3,17,5,35,-0.1,19,2,256,1776667432.035034
7,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,2173,156,3353,d7ism9tpv4fs739rm7qg,3,17,5,35,-0.1,20,3,256,1776667432.035034
7,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,2173,156,3353,d7ism9tpv4fs739rm7qg,3,17,5,35,-0.1,21,4,256,1776667432.035034
7,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,2173,156,3353,d7ism9tpv4fs739rm7qg,3,17,5,35,-0.1,22,5,256,1776667432.035034
7,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,2173,156,3353,d7ism9tpv4fs739rm7qg,3,17,5,35,-0.1,23,6,256,1776667432.035034
9,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,2815,156,4414,d7ism9tpv4fs739rm7qg,4,18,5,36,-0.1,24,1,256,1776667432.035034
9,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,2815,156,4414,d7ism9tpv4fs739rm7qg,4,18,5,36,-0.1,25,2,256,1776667432.035034
9,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,2815,156,4414,d7ism9tpv4fs739rm7qg,4,18,5,36,-0.1,26,3,256,1776667432.035034
9,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,2815,156,4414,d7ism9tpv4fs739rm7qg,4,18,5,36,-0.1,27,4,256,1776667432.035034
9,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,2815,156,4414,d7ism9tpv4fs739rm7qg,4,18,5,36,-0.1,28,5,256,1776667432.035034
9,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,2815,156,4414,d7ism9tpv4fs739rm7qg,4,18,5,36,-0.1,29,6,256,1776667432.035034
13,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,4174,156,6563,d7ism9tpv4fs739rm7qg,6,20,5,38,-0.1,30,1,256,1776667432.035034
13,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,4174,156,6563,d7ism9tpv4fs739rm7qg,6,20,5,38,-0.1,31,2,256,1776667432.035034
13,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,4174,156,6563,d7ism9tpv4fs739rm7qg,6,20,5,38,-0.1,32,3,256,1776667432.035034
13,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,4174,156,6563,d7ism9tpv4fs739rm7qg,6,20,5,38,-0.1,33,4,256,1776667432.035034
13,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,4174,156,6563,d7ism9tpv4fs739rm7qg,6,20,5,38,-0.1,34,5,256,1776667432.035034
13,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,4174,156,6563,d7ism9tpv4fs739rm7qg,6,20,5,38,-0.1,35,6,256,1776667432.035034
17,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,5418,156,8712,d7ism9tpv4fs739rm7qg,8,22,5,40,-0.1,36,1,256,1776667432.035034
17,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,5418,156,8712,d7ism9tpv4fs739rm7qg,8,22,5,40,-0.1,37,2,256,1776667432.035034
17,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,5418,156,8712,d7ism9tpv4fs739rm7qg,8,22,5,40,-0.1,38,3,256,1776667432.035034
17,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,5418,156,8712,d7ism9tpv4fs739rm7qg,8,22,5,40,-0.1,39,4,256,1776667432.035034
17,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,5418,156,8712,d7ism9tpv4fs739rm7qg,8,22,5,40,-0.1,40,5,256,1776667432.035034
17,ibm_basquecountry,20260420_084343,886bb6af-714c-4908-97d7-0343d832745f,c0,5418,156,8712,d7ism9tpv4fs739rm7qg,8,22,5,40,-0.1,41,6,256,1776667432.035034
